1	29
2	69
2	70
2	71
3	2
4	2
5	2
6	2
7	2
8	72
8	71
9	8
9	60
10	73
10	70
10	74
10	69
10	75
10	71
10	76
10	3
10	6
10	7
10	77
11	2
11	8
12	2
12	8
12	10
13	2
13	8
13	10
14	2
15	8
16	2
17	2
18	72
18	71
18	9
18	11
18	12
18	13
18	15
19	2
19	8
19	18
20	10
21	10
22	2
23	2
24	2
25	2
25	10
26	2
26	10
27	10
28	69
28	70
28	71
28	3
28	4
28	6
28	7
28	9
28	11
28	12
28	13
28	16
28	17
28	19
28	21
28	22
28	23
28	24
28	25
28	26
29	72
29	71
29	78
29	79
29	80
29	17
29	81
29	19
29	21
29	82
29	83
29	25
30	2
30	28
31	2
31	10
31	28
31	29
32	29
33	2
33	10
34	18
35	8
35	18
36	10
37	2
37	10
37	28
38	2
38	10
38	28
39	2
39	8
39	18
39	28
40	2
40	10
40	28
40	29
41	2
41	8
41	10
41	18
41	28
41	52
42	2
42	28
43	2
43	28
44	8
44	18
45	2
45	8
45	10
45	18
45	28
45	46
46	71
46	6
46	84
46	11
46	12
46	13
46	30
46	39
46	40
46	41
46	45
47	2
47	8
47	10
47	18
47	28
47	46
48	2
48	10
48	28
49	69
49	1
49	76
49	85
49	3
49	86
49	4
49	87
49	9
49	12
49	14
49	88
49	78
49	79
49	80
49	16
49	20
49	21
49	22
49	23
49	24
49	83
49	25
49	26
49	89
49	27
49	33
49	36
49	37
49	90
49	40
49	41
49	91
49	43
49	45
49	48
50	2
50	28
50	49
51	28
52	71
52	11
52	12
52	26
52	39
52	41
52	43
52	47
52	48
53	52
53	60
53	52
53	60
53	8
53	18
53	29
53	49
53	52
53	60
54	8
54	18
54	28
54	29
54	46
54	49
55	2
55	8
55	18
55	28
55	29
55	46
55	49
56	2
56	28
56	46
57	8
57	18
57	29
57	46
57	49
57	52
58	2
58	8
58	18
58	28
58	46
58	52
59	2
59	28
59	52
60	69
60	72
60	71
60	4
60	5
60	6
60	7
60	77
60	87
60	9
60	11
60	12
60	13
60	14
60	88
60	79
60	19
60	22
60	26
60	27
60	30
60	31
60	37
60	92
60	90
60	93
60	41
60	43
60	48
60	53
61	2
61	28
61	49
62	2
62	10
62	28
62	49
63	8
63	18
63	28
63	29
64	8
64	18
64	28
64	29
64	46
64	52
65	2
65	10
65	28
66	28
67	10
67	28
67	29
67	49
67	60
68	2
68	28
68	49
68	60
